Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T211,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,2021-05-07 17:14:22,2021-05-07 18:23:03,2021-05-18 11:03:29,Allan,Excellent (5),Resolved,,Ticket Portal
T212,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,2021-05-07 20:22:30,2021-05-07 20:23:21,2021-05-11 17:45:13,Veronica,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T213,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,2021-05-07 20:22:30,2021-05-07 20:23:21,2021-05-11 17:45:13,Veronica,Good (4),Resolved,,Mail
T214,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,2021-05-10 17:10:40,2021-05-10 17:15:26,2021-05-20 10:34:05,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T215,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,2021-05-10 17:10:40,2021-05-10 17:15:26,2021-05-20 10:34:05,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T216,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,2021-05-10 17:24:24,2021-05-10 17:26:05,2021-05-21 20:07:29,Aleena,Unsatisfactory (2),Resolved,,Ticket Portal
T217,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-05-10 17:24:24,2021-05-10 17:26:05,2021-05-21 20:07:29,Aleena,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T218,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-05-11 12:15:51,2021-05-11 12:16:58,2021-05-13 22:08:47,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T219,Medium,Oregon,Data Privacy,GDPR,HR,Vendor Cloud,2021-05-11 12:15:51,2021-05-11 12:16:58,2021-05-13 22:08:47,Charlotte,Excellent (5),Resolved,,Ticket Portal
T22,High,Florida,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-01-11 18:15:29,2021-01-11 18:15:52,2021-01-13 11:10:23,Benny,Excellent (5),Recommended Threat Assessment,,Mail
T220,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,2021-05-11 17:17:50,2021-05-11 17:18:56,2021-05-13 11:46:33,Kareema,Excellent (5),Resolved,,Mail
T221,High,New York,Data Leak,Insider Threat,HR,On Prem Cloud,2021-05-11 17:17:50,2021-05-11 17:18:56,2021-05-13 11:46:33,Kareema,Unsatisfactory (2),Resolved,,Ticket Portal
T222,High,Florida,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-05-11 18:15:29,2021-05-11 18:15:52,2021-05-13 11:10:23,Benny,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T223,Medium,Colorado,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,2021-05-11 18:15:29,2021-05-11 18:15:52,2021-05-13 11:10:23,Benny,Good (4),Advised for a risk assessment,,Mail
T224,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,2021-05-11 23:36:34,2021-05-12 01:18:18,2021-05-17 21:45:50,Martina,Excellent (5),Resolved,,Ticket Portal
T225,Medium,District of Columbia,Cyber Consultation,Segregation of Duties,IT,On Prem Server,2021-05-11 23:36:34,2021-05-12 01:18:18,2021-05-17 21:45:50,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal
T226,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-05-12 11:55:31,2021-05-12 11:58:38,2021-05-17 09:47:17,Benny,Excellent (5),Resolved,,Ticket Portal
T227,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,2021-05-12 11:55:31,2021-05-12 11:58:38,2021-05-17 09:47:17,Benny,Excellent (5),Resolved,,Ticket Portal
T228,High,Virginia,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-05-12 17:45:32,2021-05-12 17:46:30,2021-05-13 11:45:18,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T229,High,Mississippi,Security Gap,Unauthorized access,Manufacturing,Vendor Cloud,2021-05-12 17:45:32,2021-05-12 17:46:30,2021-05-13 11:45:18,Kareema,Excellent (5),Advised for a risk assessment,,Personal Call
T23,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,2021-01-11 23:36:34,2021-01-12 01:18:18,2021-01-17 21:45:50,Martina,Excellent (5),Resolved,,Mail
T230,Low,Illinois,Data Leak,Vishing,HR,On Prem Server,2021-05-13 10:30:54,2021-05-13 10:40:27,2021-05-13 19:16:37,Benny,Excellent (5),Resolved,,Ticket Portal
T231,High,Alabama,Cyber Security Breach,Spyware,HR,On Prem Cloud,2021-05-13 11:20:03,2021-05-13 11:20:25,2021-05-13 12:02:36,Benny,Excellent (5),Recommended Threat Assessment,,Personal Call
T232,High,Utah,Data Privacy,GDPR,Finance,On Prem Server,2021-05-13 14:20:06,2021-05-13 14:28:47,2021-05-17 10:43:52,Benny,Excellent (5),Resolved,,Ticket Portal
T233,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,2021-05-13 21:53:10,2021-05-13 21:54:06,2021-05-17 18:36:34,Charlotte,Excellent (5),Advised for a risk assessment,,Mail
T234,Low,Massachusetts,Data Privacy,Privacy Assessment,IT,On Prem Cloud,2021-05-14 13:09:02,2021-05-14 16:35:18,2021-05-18 17:02:56,Martina,Excellent (5),Advised for a risk assessment,,Personal Call
T235,Low,Ohio,Data Leak,Phishing,HR,On Prem Server,2021-05-17 09:56:50,2021-05-17 09:57:11,2021-05-17 09:58:19,Benny,Excellent (5),Resolved,,Ticket Portal
T236,Low,Florida,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,2021-05-17 16:26:43,2021-05-17 16:28:48,2021-07-16 09:06:41,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal
T237,Medium,New York,Data Leak,Insider Threat,Marketing,Vendor Cloud,2021-05-17 21:07:22,2021-05-17 21:17:00,2021-07-13 18:57:52,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T238,High,California,Cyber Consultation,BCP/DR,Finance,On Prem Cloud,2021-05-18 11:34:43,2021-05-18 11:35:01,2021-07-16 12:54:03,Robbin,Excellent (5),Resolved,,Ticket Portal
T239,High,New York,Data Privacy,HIPAA,IT,On Prem Server,2021-05-18 20:29:44,2021-05-18 20:36:58,2021-06-02 10:13:11,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T24,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-01-12 11:55:31,2021-01-12 11:58:38,2021-01-17 09:47:17,Benny,Excellent (5),Resolved,,Ticket Portal
T240,Low,California,Data Privacy,HIPAA,Manufacturing,Vendor Cloud,2021-05-18 20:43:40,2021-05-18 20:49:27,2021-05-25 19:11:39,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T241,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,2021-05-19 04:21:57,2021-05-19 04:22:22,2021-05-19 04:23:53,Benny,Unsatisfactory (2),Recommended Threat Assessment,,Personal Call
T242,Medium,North Carolina,Data Leak,Phishing,Marketing,On Prem Server,2021-05-19 06:13:10,2021-05-19 06:18:05,2021-05-19 18:52:38,Benny,Excellent (5),Recommended Threat Assessment,,Mail
T243,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-05-19 06:14:24,2021-05-19 06:16:49,2021-05-25 14:25:53,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal
T244,High,Wisconsin,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-05-19 13:58:37,2021-05-19 14:01:10,2021-06-02 10:20:17,Martina,Excellent (5),Resolved,,Ticket Portal
T245,High,California,Data Leak,Vishing,HR,On Prem Server,2021-05-19 18:34:13,2021-05-19 18:37:33,2021-05-24 12:17:12,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call
T246,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,2021-05-20 08:44:59,2021-05-20 08:45:18,2021-05-20 08:52:51,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T247,Low,District of Columbia,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-05-20 15:49:29,2021-05-20 15:55:21,2021-05-28 10:11:19,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T248,High,New York,Data Privacy,HIPAA,HR,On Prem Server,2021-05-20 21:23:05,2021-05-20 21:27:39,2021-05-20 21:27:39,Martina,Excellent (5),Resolved,,Personal Call
T249,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,2021-05-21 18:18:12,2021-05-21 18:31:29,2021-06-09 12:11:32,Robbin,Excellent (5),Resolved,,Ticket Portal
T25,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,2021-01-12 11:55:31,2021-01-12 11:58:38,2021-01-17 09:47:17,Benny,Excellent (5),Resolved,,Personal Call
T250,Low,Pennsylvania,Data Privacy,Privacy Assessment,HR,Vendor Cloud,2021-05-25 11:01:58,2021-05-25 11:05:05,2021-05-31 11:30:57,Sebastian,Excellent (5),Resolved,,Ticket Portal
T251,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,2021-05-25 18:56:04,2021-05-25 19:49:43,2021-05-25 19:49:43,Sebastian,Excellent (5),Advised for a risk assessment,,Mail
T252,High,California,Data Privacy,GDPR,IT,On Prem Cloud,2021-05-25 23:29:33,2021-05-25 23:37:40,2021-06-03 18:54:09,Martina,Excellent (5),Advised for a risk assessment,,Mail
T253,High,Virginia,Data Leak,Phishing,Finance,Vendor Cloud,2021-05-26 11:43:32,2021-05-26 11:44:57,2021-05-26 11:46:01,Kareema,Excellent (5),Resolved,,Ticket Portal
T254,High,Florida,Security Gap,Obsolete Software,Manufacturing,On Prem Cloud,2021-05-26 19:27:29,2021-05-26 19:30:28,2021-09-22 11:17:35,Robbin,Good (4),Recommended Threat Assessment,,Ticket Portal
T255,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-05-27 15:20:39,2021-05-27 15:21:40,2021-05-27 15:40:48,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T256,High,North Carolina,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-05-27 15:58:08,2021-05-27 16:15:46,2021-06-08 09:23:55,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T257,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-05-27 16:21:56,2021-05-27 16:24:59,2021-06-03 19:36:24,Allan,Excellent (5),Resolved,,Ticket Portal
T258,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,2021-05-27 17:44:51,2021-05-27 18:14:42,2021-06-03 19:26:23,Sylviya,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T259,Low,Washington,Cyber Consultation,Secure Development,HR,Vendor Cloud,2021-05-27 21:00:20,2021-05-27 21:00:52,2021-05-27 21:20:08,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T26,High,Virginia,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-01-12 17:45:32,2021-01-12 17:46:30,2021-01-13 11:45:18,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal
T260,Low,Washington,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-05-28 15:09:43,2021-05-28 15:12:37,2021-06-22 16:21:05,Kareema,Good (4),Resolved,,Ticket Portal
T261,Medium,Tennessee,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-05-28 20:30:03,2021-05-31 08:53:33,2021-06-15 11:00:25,Martina,Excellent (5),Advised for a risk assessment,,Mail
T262,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,2021-05-31 09:37:19,2021-05-31 09:37:50,2021-05-31 09:40:00,Allan,Satisfactory (3),Resolved,,Ticket Portal
T263,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-05-31 09:46:50,2021-05-31 09:47:05,2021-05-31 09:51:17,Allan,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T264,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-05-31 09:46:51,2021-05-31 09:47:20,2021-06-03 19:56:04,Allan,Satisfactory (3),Resolved,,Mail
T265,High,Connecticut,Cyber Consultation,Segregation of Duties,Finance,On Prem Server,2021-05-31 09:46:53,2021-05-31 09:47:36,2021-05-31 09:57:49,Allan,Excellent (5),Resolved,,Ticket Portal
T266,Medium,Illinois,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-05-31 10:04:00,2021-05-31 10:04:20,2021-07-06 09:35:43,Allan,Unsatisfactory (2),Resolved,,Mail
T267,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,2021-05-31 11:13:11,2021-05-31 11:13:42,2021-05-31 11:38:41,Allan,Satisfactory (3),Resolved,,Ticket Portal
T268,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,2021-05-31 15:53:46,2021-05-31 15:56:06,2021-06-04 12:27:03,Sylviya,Excellent (5),Recommended Threat Assessment,,Personal Call
T269,Medium,Maryland,Security Gap,Password non-expiry,Finance,On Prem Server,2021-06-01 10:58:22,2021-06-01 11:00:29,2021-06-07 10:45:25,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T27,High,Alabama,Cyber Security Breach,Spyware,HR,On Prem Cloud,2021-01-13 11:20:03,2021-01-13 11:20:25,2021-01-13 12:02:36,Benny,Excellent (5),Recommended Threat Assessment,,Mail
T270,Low,Utah,Security Gap,Unauthorized software,Legal,Vendor Cloud,2021-06-02 15:56:07,2021-06-02 16:02:03,2021-06-09 19:23:18,Cinderalla,Good (4),Resolved,,Ticket Portal
T271,High,New York,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-06-02 16:28:20,2021-06-02 16:31:20,2021-06-14 15:50:47,Charlotte,Excellent (5),Resolved,,Personal Call
T272,High,Texas,Cyber Security Breach,Malware Attack,Marketing,Vendor Cloud,2021-06-02 17:52:56,2021-06-02 17:59:52,2021-07-15 17:32:35,Martina,Excellent (5),Resolved,,Mail
T273,Low,Texas,Cyber Consultation,Application Offboarding,HR,On Prem Server,2021-06-02 22:41:31,2021-06-02 23:12:02,2021-06-03 20:33:31,Martina,Excellent (5),Resolved,,Personal Call
T274,High,New York,Data Leak,Phishing,IT,On Prem Server,2021-06-03 17:54:08,2021-06-04 16:02:57,2021-09-21 09:53:58,Martina,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T275,Medium,California,Data Privacy,HIPAA,HR,On Prem Cloud,2021-06-04 15:11:01,2021-06-04 15:12:56,2021-06-08 09:55:02,Martina,Unsatisfactory (2),Resolved,,Ticket Portal
T276,High,Texas,Cyber Consultation,Database Security,IT,On Prem Server,2021-06-07 11:03:47,2021-06-07 11:04:35,2021-06-07 11:05:36,Sebastian,Good (4),Advised for a risk assessment,,Ticket Portal
T277,Low,Virginia,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-06-07 16:14:25,2021-06-07 17:03:01,2021-06-08 12:03:56,Charles,Good (4),Recommended Threat Assessment,,Ticket Portal
T278,High,Virginia,Data Privacy,HIPAA,Manufacturing,On Prem Server,2021-06-07 23:13:05,2021-06-08 07:36:11,2021-06-23 19:47:34,Martina,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T279,High,New York,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-06-08 15:33:56,2021-06-08 15:35:19,2021-06-08 20:08:34,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T28,High,Utah,Data Privacy,GDPR,Finance,On Prem Server,2021-01-13 14:20:06,2021-01-13 14:28:47,2021-01-17 10:43:52,Benny,Excellent (5),Resolved,,Ticket Portal
T280,Low,Texas,Data Privacy,PCI-DSS,Manufacturing,On Prem Cloud,2021-06-08 17:18:12,2021-06-08 17:27:06,2021-06-24 09:52:51,Bob,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T281,Medium,Utah,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,2021-06-08 18:30:23,2021-06-09 14:01:22,2021-06-14 12:59:11,Veronica,Good (4),Advised for a risk assessment,,Ticket Portal
T282,High,Washington,Cyber Consultation,Application Offboarding,Legal,On Prem Cloud,2021-06-08 19:30:52,2021-06-08 20:30:43,2021-06-09 10:55:29,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T283,High,Ohio,Data Privacy,HIPAA,HR,On Prem Cloud,2021-06-09 11:04:29,2021-06-09 11:08:41,2021-06-15 17:23:22,Charles,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T284,Low,Massachusetts,Cyber Consultation,New Application Launch,Legal,On Prem Server,2021-06-09 18:56:07,2021-06-09 19:07:06,2021-07-01 22:06:57,Cinderalla,Satisfactory (3),Resolved,,Personal Call
T285,High,Florida,Data Leak,Phishing,Finance,On Prem Server,2021-06-09 19:44:00,2021-06-09 19:54:32,2021-07-28 21:50:33,Aleena,Excellent (5),Advised for a risk assessment,,Mail
T286,High,New York,Cyber Consultation,Application Offboarding,Marketing,Vendor Cloud,2021-06-09 19:57:54,2021-06-09 19:59:57,2021-06-16 10:20:42,Cinderalla,Excellent (5),Advised for a risk assessment,,Ticket Portal
T287,Medium,Virginia,Cyber Consultation,Access Management,Legal,On Prem Cloud,2021-06-10 11:42:28,2021-06-10 11:45:56,2021-07-22 11:06:19,Michael,Good (4),Resolved,,Ticket Portal
T288,Low,Florida,Data Privacy,PCI-DSS,HR,On Prem Cloud,2021-06-10 19:35:25,2021-06-10 19:44:04,2021-06-11 18:57:47,Sebastian,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T289,Low,Illinois,Data Privacy,HIPAA,HR,On Prem Server,2021-06-11 16:46:26,2021-06-11 16:48:20,2021-06-11 16:48:43,Robbin,Excellent (5),Recommended Threat Assessment,,Personal Call
T29,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,2021-01-13 21:53:10,2021-01-13 21:54:06,2021-01-17 18:36:34,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal
T290,Medium,California,Data Privacy,GDPR,IT,Vendor Cloud,2021-06-11 19:22:13,2021-06-11 19:22:41,2021-06-11 19:23:39,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T291,High,New York,Data Leak,Insider Threat,IT,On Prem Server,2021-06-11 23:15:32,2021-06-12 08:29:22,2021-06-18 11:48:45,Charles,Good (4),Resolved,,Ticket Portal
T292,Medium,Illinois,Security Gap,Password non-expiry,Legal,On Prem Cloud,2021-06-14 11:43:04,2021-06-14 11:46:01,2021-06-22 19:02:55,Michael,Satisfactory (3),Advised for a risk assessment,,Mail
T293,Medium,Kansas,Security Gap,Obsolete Software,IT,Vendor Cloud,2021-06-14 11:55:33,2021-06-14 11:57:15,2021-06-28 14:10:23,Sebastian,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T294,High,Florida,Data Leak,Vishing,IT,On Prem Cloud,2021-06-14 12:07:12,2021-06-14 12:07:43,2021-06-14 12:09:59,Michael,Excellent (5),Resolved,,Personal Call
T295,High,New York,Cyber Consultation,BCP/DR,Finance,Vendor Cloud,2021-06-14 14:00:02,2021-06-14 14:04:10,2021-06-24 11:01:46,Cinderalla,Satisfactory (3),Advised for a risk assessment,,Personal Call
T296,High,Texas,Data Privacy,HIPAA,IT,On Prem Server,2021-06-15 00:16:54,2021-06-15 00:22:53,2021-06-30 18:18:14,Sebastian,Good (4),Resolved,,Personal Call
T297,High,New York,Cyber Security Breach,Firewall,IT,On Prem Server,2021-06-15 17:07:06,2021-06-15 17:13:52,2021-06-24 20:13:42,Sylviya,Excellent (5),Resolved,,Mail
T298,High,Massachusetts,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-06-15 18:27:18,2021-06-15 18:33:58,2021-06-22 19:07:38,Michael,Satisfactory (3),Resolved,,Ticket Portal
T299,High,Michigan,Data Leak,Phishing,Finance,On Prem Server,2021-06-16 20:45:52,2021-06-16 20:46:24,2021-06-16 20:51:18,Robbin,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T30,High,California,Cyber Consultation,BCP/DR,Finance,On Prem Cloud,2021-01-18 11:34:43,2021-01-18 11:35:01,2021-07-16 12:54:03,Robbin,Excellent (5),Resolved,,Mail
T300,High,Nevada,Data Leak,Vishing,HR,On Prem Server,2021-06-17 12:19:42,2021-06-17 12:20:06,2021-06-29 13:16:45,Robbin,Excellent (5),Recommended Threat Assessment,,Personal Call
T301,Low,Colorado,Data Leak,Phishing,Finance,On Prem Server,2021-06-18 16:41:04,2021-06-18 16:41:36,2021-06-18 19:38:23,Robbin,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T302,High,Texas,Data Privacy,GDPR,Legal,On Prem Server,2021-06-18 19:35:01,2021-06-18 19:35:42,2021-06-21 18:27:47,Veronica,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T303,Low,Kentucky,Cyber Consultation,Encryption,IT,On Prem Server,2021-06-21 10:55:49,2021-06-21 10:57:48,2021-06-22 16:24:42,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal
T304,Medium,Maryland,Cyber Consultation,Application Offboarding,Legal,Vendor Cloud,2021-06-21 11:12:47,2021-06-21 11:13:20,2021-06-25 16:52:39,Kareema,Excellent (5),Advised for a risk assessment,,Ticket Portal
T305,Low,California,Cyber Consultation,Third Party Engagement,Legal,On Prem Server,2021-06-21 16:03:48,2021-06-21 16:10:34,2021-06-25 15:11:57,Charles,Excellent (5),Advised for a risk assessment,,Personal Call
T306,Medium,Illinois,Data Leak,Phishing,HR,On Prem Cloud,2021-06-21 20:08:06,2021-06-21 20:20:04,2021-06-26 10:59:56,Cinderalla,Good (4),Advised for a risk assessment,,Mail
T307,Low,Virginia,Data Leak,Insider Threat,Finance,Vendor Cloud,2021-06-22 15:04:25,2021-06-22 15:09:14,2021-07-01 00:38:09,Sean,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T308,Medium,New Jersey,Data Privacy,PCI-DSS,IT,On Prem Server,2021-06-22 17:44:30,2021-06-22 17:44:55,2021-06-22 17:47:18,Robbin,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal
T309,High,South Carolina,Cyber Security Breach,Spyware,Legal,On Prem Server,2021-06-23 13:26:18,2021-06-23 13:26:35,2021-06-23 13:28:29,Michael,Good (4),Recommended Threat Assessment,,Ticket Portal
T31,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,2021-01-19 04:21:57,2021-01-19 04:22:22,2021-01-19 04:23:53,Benny,Unsatisfactory (2),Recommended Threat Assessment,No,Ticket Portal
T310,High,Virginia,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,2021-06-23 13:30:57,2021-06-23 13:31:14,2021-06-23 13:32:19,Michael,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T311,Medium,Massachusetts,Cyber Consultation,Access Management,Marketing,On Prem Server,2021-06-23 15:31:52,2021-06-23 15:37:41,2021-06-24 16:50:40,Charles,Excellent (5),Resolved,,Ticket Portal
T312,High,Georgia,Cyber Security Breach,Firewall,Manufacturing,Vendor Cloud,2021-06-23 17:29:46,2021-06-23 17:50:03,2021-07-06 14:33:53,Sean,Excellent (5),Advised for a risk assessment,,Personal Call
T313,Low,New York,Security Gap,Obsolete Software,Legal,On Prem Server,2021-06-23 19:07:09,2021-06-23 19:09:29,2021-06-23 19:55:22,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T314,High,North Carolina,Cyber Security Breach,Malware Attack,Marketing,On Prem Server,2021-06-25 16:12:57,2021-06-25 16:13:32,2021-06-25 22:46:27,Charlotte,Excellent (5),Resolved,,Ticket Portal
T315,High,California,Data Leak,Phishing,IT,On Prem Server,2021-06-25 20:27:24,2021-06-25 21:33:25,2021-08-04 13:46:19,Michael,Unsatisfactory (2),Resolved,,Personal Call
T316,High,Virginia,Data Privacy,GDPR,Marketing,On Prem Server,2021-06-28 14:31:32,2021-06-28 14:32:13,2021-06-29 17:07:46,Kareema,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T317,Low,California,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,2021-06-30 19:00:43,2021-06-30 19:03:11,2021-08-30 18:38:50,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T318,High,Florida,Data Privacy,Privacy Assessment,IT,On Prem Cloud,2021-06-30 20:20:27,2021-06-30 20:20:56,2021-06-30 20:26:58,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T319,Low,Louisiana,Cyber Consultation,Access Management,Marketing,On Prem Server,2021-06-30 20:31:28,2021-06-30 20:31:47,2021-06-30 20:33:18,Allan,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
T32,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-01-19 06:14:24,2021-01-19 06:16:49,2021-01-25 14:25:53,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal
T320,Medium,California,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,2021-06-30 20:36:16,2021-06-30 20:36:33,2021-06-30 20:39:38,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T321,Medium,Illinois,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-06-30 20:41:53,2021-06-30 20:42:08,2021-06-30 20:44:19,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T322,High,Indiana,Data Leak,Insider Threat,Marketing,On Prem Server,2021-06-30 20:46:46,2021-06-30 20:47:06,2021-06-30 20:50:12,Allan,Excellent (5),Recommended Threat Assessment,,Personal Call
T323,Medium,Alabama,Data Privacy,PCI-DSS,HR,On Prem Server,2021-06-30 20:52:27,2021-06-30 21:02:29,2021-06-30 21:02:49,Allan,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T324,Low,California,Data Leak,Insider Threat,Manufacturing,On Prem Cloud,2021-06-30 21:07:17,2021-06-30 21:07:38,2021-06-30 21:11:02,Allan,Excellent (5),Recommended Threat Assessment,,Mail
T325,High,Wisconsin,Data Privacy,HIPAA,Marketing,On Prem Server,2021-06-30 21:39:35,2021-07-01 11:26:58,2021-07-12 12:01:54,Robbin,Satisfactory (3),Resolved,,Ticket Portal
T326,High,District of Columbia,Cyber Security Breach,Spyware,Legal,On Prem Cloud,2021-07-01 19:12:19,2021-07-01 19:17:28,2021-07-13 17:55:40,Michael,Excellent (5),Resolved,,Ticket Portal
T327,Low,New York,Cyber Consultation,BCP/DR,Manufacturing,Vendor Cloud,2021-07-01 20:03:59,2021-07-01 20:06:27,2021-07-12 13:39:45,Cinderalla,Good (4),Resolved,,Ticket Portal
T328,Medium,Florida,Data Privacy,PCI-DSS,Marketing,On Prem Server,2021-07-05 12:44:51,2021-07-05 12:47:13,2021-07-14 20:14:40,Bob,Excellent (5),Advised for a risk assessment,,Personal Call
T329,High,North Carolina,Cyber Security Breach,Firewall,Legal,Vendor Cloud,2021-07-05 16:00:14,2021-07-05 16:02:54,2021-07-13 17:48:46,Bob,Excellent (5),Resolved,,Ticket Portal
T33,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,2021-01-20 08:44:59,2021-01-20 08:45:18,2021-01-20 08:52:51,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T330,Medium,Georgia,Data Leak,Phishing,HR,On Prem Cloud,2021-07-06 17:38:23,2021-07-06 18:00:50,2021-07-08 18:28:07,Charles,Good (4),Resolved,,Personal Call
T331,High,Nebraska,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-07-06 21:15:16,2021-07-06 21:19:40,2021-07-07 21:33:56,Veronica,Unsatisfactory (2),Advised for a risk assessment,,Ticket Portal
