Ticket No,Priority,State,Category,Sub Category,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via,text
T188,High,Texas,Data Privacy,HIPAA,HR,Vendor Cloud,2021-04-29 17:25:07,2021-04-29 17:25:27,2021-04-29 20:05:19,Bob,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal,Data Privacy HIPAA Recommended Threat Assessment High HR
T189,Low,Virginia,Data Leak,Insider Threat,IT,Vendor Cloud,2021-04-29 17:29:50,2021-04-29 17:30:10,2021-04-29 17:30:10,Bob,Good (4),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Low IT
T19,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-01-11 12:15:51,2021-01-11 12:16:58,2021-01-13 22:08:47,Charlotte,Excellent (5),Advised for a risk assessment,,Personal Call,Cyber Security Breach Spyware Advised for a risk assessment High Finance
T190,Medium,Ohio,Data Privacy,HIPAA,HR,On Prem Server,2021-04-29 17:30:45,2021-04-29 17:47:37,2021-04-29 20:05:45,Bob,Excellent (5),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved Medium HR
T191,High,Ohio,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,2021-04-30 10:31:16,2021-04-30 11:49:52,2021-04-30 18:57:56,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Data Privacy Privacy Assessment Advised for a risk assessment High Finance
T192,Medium,Delaware,Data Privacy,Privacy Assessment,Marketing,On Prem Cloud,2021-04-30 16:10:01,2021-04-30 16:11:11,2021-05-13 17:18:16,Bob,Excellent (5),Resolved,,Ticket Portal,Data Privacy Privacy Assessment Resolved Medium Marketing
T193,Low,Tennessee,Cyber Consultation,New Application Launch,HR,On Prem Cloud,2021-04-30 17:12:19,2021-04-30 17:19:00,2021-05-04 16:04:18,Charles,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation New Application Launch Advised for a risk assessment Low HR
T194,High,California,Data Privacy,GDPR,IT,Vendor Cloud,2021-05-03 12:46:36,2021-05-03 12:48:31,2021-06-03 16:35:26,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy GDPR Advised for a risk assessment High IT
T195,High,California,Data Privacy,GDPR,IT,On Prem Server,2021-05-03 22:09:07,2021-05-03 22:12:12,2021-05-10 18:32:15,Martina,Good (4),Resolved,,Ticket Portal,Data Privacy GDPR Resolved High IT
T196,Low,Minnesota,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-05-04 09:52:44,2021-05-04 10:12:46,2021-05-17 09:44:31,Bob,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation BCP/DR Recommended Threat Assessment Low IT
T197,High,Maryland,Cyber Security Breach,Firewall,HR,Vendor Cloud,2021-05-04 10:11:07,2021-05-04 10:11:31,2021-05-04 11:43:40,Allan,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Firewall Recommended Threat Assessment High HR
T198,High,Arizona,Cyber Security Breach,Malware Attack,Finance,On Prem Cloud,2021-05-04 10:26:49,2021-05-04 10:27:05,2021-05-04 11:47:07,Allan,Unsatisfactory (2),Resolved,Yes,Ticket Portal,Cyber Security Breach Malware Attack Resolved High Finance
T199,Low,New York,Security Gap,Password non-expiry,IT,On Prem Server,2021-05-04 10:55:13,2021-05-04 10:55:31,2021-05-18 11:06:54,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal,Security Gap Password non-expiry Advised for a risk assessment Low IT
T20,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,2021-01-11 17:17:50,2021-01-11 17:18:56,2021-01-13 11:46:33,Kareema,Excellent (5),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved Low Finance
T200,High,California,Cyber Security Breach,Malware Attack,Legal,On Prem Cloud,2021-05-04 21:58:33,2021-05-04 22:13:03,2021-05-11 12:20:42,Charlotte,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Malware Attack Recommended Threat Assessment High Legal
T201,Low,California,Cyber Consultation,New Application Launch,Finance,Vendor Cloud,2021-05-05 00:00:56,2021-05-05 09:24:48,2021-05-07 21:30:32,Sebastian,Satisfactory (3),Resolved,,Mail,Cyber Consultation New Application Launch Resolved Low Finance
T202,High,Texas,Cyber Consultation,Application Offboarding,Marketing,On Prem Server,2021-05-05 21:27:59,2021-05-05 21:45:26,2021-05-07 20:14:33,Charlotte,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Application Offboarding Advised for a risk assessment High Marketing
T203,High,Utah,Data Leak,Insider Threat,IT,On Prem Server,2021-05-05 21:33:49,2021-04-28 22:11:07,2021-05-10 18:30:56,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal,Data Leak Insider Threat Recommended Threat Assessment High IT
T204,High,New Jersey,Data Privacy,HIPAA,Legal,Vendor Cloud,2021-05-06 19:36:07,2021-07-08 01:39:57,2021-05-11 10:17:39,Bob,Unsatisfactory (2),Advised for a risk assessment,Yes,Mail,Data Privacy HIPAA Advised for a risk assessment High Legal
T205,Low,California,Cyber Consultation,Segregation of Duties,Manufacturing,Vendor Cloud,2021-05-06 19:47:31,2021-05-06 20:09:09,2021-05-10 11:04:50,Sylviya,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Segregation of Duties Advised for a risk assessment Low Manufacturing
T206,High,Utah,Data Privacy,HIPAA,Legal,On Prem Cloud,2021-05-06 23:44:19,2021-05-06 23:57:45,2021-05-10 17:53:51,Martina,Good (4),Recommended Threat Assessment,,Mail,Data Privacy HIPAA Recommended Threat Assessment High Legal
T207,High,Missouri,Data Privacy,GDPR,Manufacturing,On Prem Server,2021-05-06 23:44:19,2021-05-06 23:57:45,2021-05-10 17:53:51,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Data Privacy GDPR Advised for a risk assessment High Manufacturing
T208,Low,Louisiana,Data Leak,Insider Threat,IT,On Prem Cloud,2021-05-07 14:38:25,2021-05-07 14:41:55,2021-09-03 17:36:57,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal,Data Leak Insider Threat Advised for a risk assessment Low IT
T209,Medium,California,Security Gap,Obsolete Software,Marketing,Vendor Cloud,2021-05-07 14:38:25,2021-05-07 14:41:55,2021-09-03 17:36:57,Kareema,Satisfactory (3),Resolved,,Ticket Portal,Security Gap Obsolete Software Resolved Medium Marketing
T21,High,New York,Data Leak,Insider Threat,HR,On Prem Cloud,2021-01-11 17:17:50,2021-01-11 17:18:56,2021-01-13 11:46:33,Kareema,Unsatisfactory (2),Resolved,No,Ticket Portal,Data Leak Insider Threat Resolved High HR
T210,High,California,Cyber Consultation,Application Offboarding,IT,On Prem Cloud,2021-05-07 17:14:22,2021-05-07 18:23:03,2021-05-18 11:03:29,Allan,Good (4),Resolved,,Ticket Portal,Cyber Consultation Application Offboarding Resolved High IT
T211,Low,California,Data Leak,Insider Threat,HR,On Prem Cloud,2021-05-07 17:14:22,2021-05-07 18:23:03,2021-05-18 11:03:29,Allan,Excellent (5),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Low HR
T212,High,Florida,Cyber Consultation,Encryption,IT,On Prem Server,2021-05-07 20:22:30,2021-05-07 20:23:21,2021-05-11 17:45:13,Veronica,Unsatisfactory (2),Resolved,Yes,Ticket Portal,Cyber Consultation Encryption Resolved High IT
T213,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,2021-05-07 20:22:30,2021-05-07 20:23:21,2021-05-11 17:45:13,Veronica,Good (4),Resolved,,Mail,Data Leak Insider Threat Resolved High IT
T214,Low,Georgia,Data Privacy,PCI-DSS,Legal,Vendor Cloud,2021-05-10 17:10:40,2021-05-10 17:15:26,2021-05-20 10:34:05,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Data Privacy PCI-DSS Advised for a risk assessment Low Legal
T215,Medium,California,Data Leak,Vishing,Marketing,On Prem Server,2021-05-10 17:10:40,2021-05-10 17:15:26,2021-05-20 10:34:05,Bob,Excellent (5),Advised for a risk assessment,,Personal Call,Data Leak Vishing Advised for a risk assessment Medium Marketing
T216,Low,New York,Data Leak,Phishing,Manufacturing,Vendor Cloud,2021-05-10 17:24:24,2021-05-10 17:26:05,2021-05-21 20:07:29,Aleena,Unsatisfactory (2),Resolved,,Ticket Portal,Data Leak Phishing Resolved Low Manufacturing
T217,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-05-10 17:24:24,2021-05-10 17:26:05,2021-05-21 20:07:29,Aleena,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Firewall Advised for a risk assessment High IT
T218,High,Virginia,Cyber Security Breach,Spyware,Finance,On Prem Server,2021-05-11 12:15:51,2021-05-11 12:16:58,2021-05-13 22:08:47,Charlotte,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Spyware Advised for a risk assessment High Finance
T219,Medium,Oregon,Data Privacy,GDPR,HR,Vendor Cloud,2021-05-11 12:15:51,2021-05-11 12:16:58,2021-05-13 22:08:47,Charlotte,Excellent (5),Resolved,,Ticket Portal,Data Privacy GDPR Resolved Medium HR
T22,High,Florida,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-01-11 18:15:29,2021-01-11 18:15:52,2021-01-13 11:10:23,Benny,Excellent (5),Recommended Threat Assessment,,Mail,Cyber Security Breach Malware Attack Recommended Threat Assessment High Finance
T220,Low,California,Data Privacy,HIPAA,Finance,On Prem Server,2021-05-11 17:17:50,2021-05-11 17:18:56,2021-05-13 11:46:33,Kareema,Excellent (5),Resolved,,Mail,Data Privacy HIPAA Resolved Low Finance
T221,High,New York,Data Leak,Insider Threat,HR,On Prem Cloud,2021-05-11 17:17:50,2021-05-11 17:18:56,2021-05-13 11:46:33,Kareema,Unsatisfactory (2),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved High HR
T222,High,Florida,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-05-11 18:15:29,2021-05-11 18:15:52,2021-05-13 11:10:23,Benny,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Security Breach Malware Attack Recommended Threat Assessment High Finance
T223,Medium,Colorado,Cyber Consultation,Segregation of Duties,Finance,On Prem Cloud,2021-05-11 18:15:29,2021-05-11 18:15:52,2021-05-13 11:10:23,Benny,Good (4),Advised for a risk assessment,,Mail,Cyber Consultation Segregation of Duties Advised for a risk assessment Medium Finance
T224,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,2021-05-11 23:36:34,2021-05-12 01:18:18,2021-05-17 21:45:50,Martina,Excellent (5),Resolved,,Ticket Portal,Data Privacy PCI-DSS Resolved Medium Legal
T225,Medium,District of Columbia,Cyber Consultation,Segregation of Duties,IT,On Prem Server,2021-05-11 23:36:34,2021-05-12 01:18:18,2021-05-17 21:45:50,Martina,Good (4),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation Segregation of Duties Recommended Threat Assessment Medium IT
T226,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-05-12 11:55:31,2021-05-12 11:58:38,2021-05-17 09:47:17,Benny,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Firewall Resolved High IT
T227,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,2021-05-12 11:55:31,2021-05-12 11:58:38,2021-05-17 09:47:17,Benny,Excellent (5),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved High HR
T228,High,Virginia,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-05-12 17:45:32,2021-05-12 17:46:30,2021-05-13 11:45:18,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation BCP/DR Advised for a risk assessment High IT
T229,High,Mississippi,Security Gap,Unauthorized access,Manufacturing,Vendor Cloud,2021-05-12 17:45:32,2021-05-12 17:46:30,2021-05-13 11:45:18,Kareema,Excellent (5),Advised for a risk assessment,,Personal Call,Security Gap Unauthorized access Advised for a risk assessment High Manufacturing
T23,Medium,California,Data Privacy,PCI-DSS,Legal,On Prem Server,2021-01-11 23:36:34,2021-01-12 01:18:18,2021-01-17 21:45:50,Martina,Excellent (5),Resolved,,Mail,Data Privacy PCI-DSS Resolved Medium Legal
T230,Low,Illinois,Data Leak,Vishing,HR,On Prem Server,2021-05-13 10:30:54,2021-05-13 10:40:27,2021-05-13 19:16:37,Benny,Excellent (5),Resolved,,Ticket Portal,Data Leak Vishing Resolved Low HR
T231,High,Alabama,Cyber Security Breach,Spyware,HR,On Prem Cloud,2021-05-13 11:20:03,2021-05-13 11:20:25,2021-05-13 12:02:36,Benny,Excellent (5),Recommended Threat Assessment,,Personal Call,Cyber Security Breach Spyware Recommended Threat Assessment High HR
T232,High,Utah,Data Privacy,GDPR,Finance,On Prem Server,2021-05-13 14:20:06,2021-05-13 14:28:47,2021-05-17 10:43:52,Benny,Excellent (5),Resolved,,Ticket Portal,Data Privacy GDPR Resolved High Finance
T233,Low,California,Cyber Consultation,Database Security,IT,On Prem Server,2021-05-13 21:53:10,2021-05-13 21:54:06,2021-05-17 18:36:34,Charlotte,Excellent (5),Advised for a risk assessment,,Mail,Cyber Consultation Database Security Advised for a risk assessment Low IT
T234,Low,Massachusetts,Data Privacy,Privacy Assessment,IT,On Prem Cloud,2021-05-14 13:09:02,2021-05-14 16:35:18,2021-05-18 17:02:56,Martina,Excellent (5),Advised for a risk assessment,,Personal Call,Data Privacy Privacy Assessment Advised for a risk assessment Low IT
T235,Low,Ohio,Data Leak,Phishing,HR,On Prem Server,2021-05-17 09:56:50,2021-05-17 09:57:11,2021-05-17 09:58:19,Benny,Excellent (5),Resolved,,Ticket Portal,Data Leak Phishing Resolved Low HR
T236,Low,Florida,Cyber Consultation,Application Offboarding,Manufacturing,On Prem Server,2021-05-17 16:26:43,2021-05-17 16:28:48,2021-07-16 09:06:41,Bob,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Application Offboarding Advised for a risk assessment Low Manufacturing
T237,Medium,New York,Data Leak,Insider Threat,Marketing,Vendor Cloud,2021-05-17 21:07:22,2021-05-17 21:17:00,2021-07-13 18:57:52,Martina,Unsatisfactory (2),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Medium Marketing
T238,High,California,Cyber Consultation,BCP/DR,Finance,On Prem Cloud,2021-05-18 11:34:43,2021-05-18 11:35:01,2021-07-16 12:54:03,Robbin,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation BCP/DR Resolved High Finance
T239,High,New York,Data Privacy,HIPAA,IT,On Prem Server,2021-05-18 20:29:44,2021-05-18 20:36:58,2021-06-02 10:13:11,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy HIPAA Recommended Threat Assessment High IT
T24,High,California,Cyber Security Breach,Firewall,IT,On Prem Server,2021-01-12 11:55:31,2021-01-12 11:58:38,2021-01-17 09:47:17,Benny,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Firewall Resolved High IT
T240,Low,California,Data Privacy,HIPAA,Manufacturing,Vendor Cloud,2021-05-18 20:43:40,2021-05-18 20:49:27,2021-05-25 19:11:39,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy HIPAA Recommended Threat Assessment Low Manufacturing
T241,High,California,Data Leak,Insider Threat,HR,Vendor Cloud,2021-05-19 04:21:57,2021-05-19 04:22:22,2021-05-19 04:23:53,Benny,Unsatisfactory (2),Recommended Threat Assessment,,Personal Call,Data Leak Insider Threat Recommended Threat Assessment High HR
T242,Medium,North Carolina,Data Leak,Phishing,Marketing,On Prem Server,2021-05-19 06:13:10,2021-05-19 06:18:05,2021-05-19 18:52:38,Benny,Excellent (5),Recommended Threat Assessment,,Mail,Data Leak Phishing Recommended Threat Assessment Medium Marketing
T243,High,Iowa,Cyber Security Breach,Malware Attack,HR,On Prem Server,2021-05-19 06:14:24,2021-05-19 06:16:49,2021-05-25 14:25:53,Benny,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Malware Attack Advised for a risk assessment High HR
T244,High,Wisconsin,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-05-19 13:58:37,2021-05-19 14:01:10,2021-06-02 10:20:17,Martina,Excellent (5),Resolved,,Ticket Portal,Cyber Security Breach Malware Attack Resolved High IT
T245,High,California,Data Leak,Vishing,HR,On Prem Server,2021-05-19 18:34:13,2021-05-19 18:37:33,2021-05-24 12:17:12,Martina,Excellent (5),Recommended Threat Assessment,,Personal Call,Data Leak Vishing Recommended Threat Assessment High HR
T246,Medium,New Jersey,Cyber Consultation,Secure Development,IT,Vendor Cloud,2021-05-20 08:44:59,2021-05-20 08:45:18,2021-05-20 08:52:51,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Secure Development Advised for a risk assessment Medium IT
T247,Low,District of Columbia,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-05-20 15:49:29,2021-05-20 15:55:21,2021-05-28 10:11:19,Cinderalla,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Data Privacy Privacy Assessment Recommended Threat Assessment Low IT
T248,High,New York,Data Privacy,HIPAA,HR,On Prem Server,2021-05-20 21:23:05,2021-05-20 21:27:39,2021-05-20 21:27:39,Martina,Excellent (5),Resolved,,Personal Call,Data Privacy HIPAA Resolved High HR
T249,Low,Florida,Cyber Consultation,Segregation of Duties,Marketing,On Prem Cloud,2021-05-21 18:18:12,2021-05-21 18:31:29,2021-06-09 12:11:32,Robbin,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation Segregation of Duties Resolved Low Marketing
T25,High,Colorado,Data Privacy,HIPAA,HR,Vendor Cloud,2021-01-12 11:55:31,2021-01-12 11:58:38,2021-01-17 09:47:17,Benny,Excellent (5),Resolved,,Personal Call,Data Privacy HIPAA Resolved High HR
T250,Low,Pennsylvania,Data Privacy,Privacy Assessment,HR,Vendor Cloud,2021-05-25 11:01:58,2021-05-25 11:05:05,2021-05-31 11:30:57,Sebastian,Excellent (5),Resolved,,Ticket Portal,Data Privacy Privacy Assessment Resolved Low HR
T251,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,2021-05-25 18:56:04,2021-05-25 19:49:43,2021-05-25 19:49:43,Sebastian,Excellent (5),Advised for a risk assessment,,Mail,Data Privacy HIPAA Advised for a risk assessment Medium HR
T252,High,California,Data Privacy,GDPR,IT,On Prem Cloud,2021-05-25 23:29:33,2021-05-25 23:37:40,2021-06-03 18:54:09,Martina,Excellent (5),Advised for a risk assessment,,Mail,Data Privacy GDPR Advised for a risk assessment High IT
T253,High,Virginia,Data Leak,Phishing,Finance,Vendor Cloud,2021-05-26 11:43:32,2021-05-26 11:44:57,2021-05-26 11:46:01,Kareema,Excellent (5),Resolved,,Ticket Portal,Data Leak Phishing Resolved High Finance
T254,High,Florida,Security Gap,Obsolete Software,Manufacturing,On Prem Cloud,2021-05-26 19:27:29,2021-05-26 19:30:28,2021-09-22 11:17:35,Robbin,Good (4),Recommended Threat Assessment,,Ticket Portal,Security Gap Obsolete Software Recommended Threat Assessment High Manufacturing
T255,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,2021-05-27 15:20:39,2021-05-27 15:21:40,2021-05-27 15:40:48,Martina,Unsatisfactory (2),Resolved,,Ticket Portal,Data Privacy PCI-DSS Resolved High IT
T256,High,North Carolina,Cyber Security Breach,Malware Attack,IT,On Prem Server,2021-05-27 15:58:08,2021-05-27 16:15:46,2021-06-08 09:23:55,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Security Breach Malware Attack Advised for a risk assessment High IT
T257,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,2021-05-27 16:21:56,2021-05-27 16:24:59,2021-06-03 19:36:24,Allan,Excellent (5),Resolved,,Ticket Portal,Data Leak Insider Threat Resolved Low Legal
T258,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,2021-05-27 17:44:51,2021-05-27 18:14:42,2021-06-03 19:26:23,Sylviya,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal,Data Privacy Privacy Assessment Recommended Threat Assessment Medium Finance
T259,Low,Washington,Cyber Consultation,Secure Development,HR,Vendor Cloud,2021-05-27 21:00:20,2021-05-27 21:00:52,2021-05-27 21:20:08,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation Secure Development Recommended Threat Assessment Low HR
T26,High,Virginia,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-01-12 17:45:32,2021-01-12 17:46:30,2021-01-13 11:45:18,Kareema,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation BCP/DR Advised for a risk assessment High IT
T260,Low,Washington,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-05-28 15:09:43,2021-05-28 15:12:37,2021-06-22 16:21:05,Kareema,Good (4),Resolved,,Ticket Portal,Cyber Consultation New Application Launch Resolved Low Finance
T261,Medium,Tennessee,Cyber Consultation,BCP/DR,IT,On Prem Server,2021-05-28 20:30:03,2021-05-31 08:53:33,2021-06-15 11:00:25,Martina,Excellent (5),Advised for a risk assessment,,Mail,Cyber Consultation BCP/DR Advised for a risk assessment Medium IT
T262,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,2021-05-31 09:37:19,2021-05-31 09:37:50,2021-05-31 09:40:00,Allan,Satisfactory (3),Resolved,,Ticket Portal,Security Gap Obsolete Software Resolved Medium Finance
T263,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,2021-05-31 09:46:50,2021-05-31 09:47:05,2021-05-31 09:51:17,Allan,Unsatisfactory (2),Recommended Threat Assessment,,Ticket Portal,Cyber Consultation New Application Launch Recommended Threat Assessment Low Finance
T264,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-05-31 09:46:51,2021-05-31 09:47:20,2021-06-03 19:56:04,Allan,Satisfactory (3),Resolved,,Mail,Data Privacy Privacy Assessment Resolved Medium IT
T265,High,Connecticut,Cyber Consultation,Segregation of Duties,Finance,On Prem Server,2021-05-31 09:46:53,2021-05-31 09:47:36,2021-05-31 09:57:49,Allan,Excellent (5),Resolved,,Ticket Portal,Cyber Consultation Segregation of Duties Resolved High Finance
T266,Medium,Illinois,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-05-31 10:04:00,2021-05-31 10:04:20,2021-07-06 09:35:43,Allan,Unsatisfactory (2),Resolved,,Mail,Cyber Consultation Third Party Engagement Resolved Medium IT
T267,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,2021-05-31 11:13:11,2021-05-31 11:13:42,2021-05-31 11:38:41,Allan,Satisfactory (3),Resolved,,Ticket Portal,Cyber Consultation BCP/DR Resolved Low Marketing
T268,High,Florida,Cyber Security Breach,Malware Attack,IT,On Prem Cloud,2021-05-31 15:53:46,2021-05-31 15:56:06,2021-06-04 12:27:03,Sylviya,Excellent (5),Recommended Threat Assessment,,Personal Call,Cyber Security Breach Malware Attack Recommended Threat Assessment High IT
T269,Medium,Maryland,Security Gap,Password non-expiry,Finance,On Prem Server,2021-06-01 10:58:22,2021-06-01 11:00:29,2021-06-07 10:45:25,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Security Gap Password non-expiry Advised for a risk assessment Medium Finance
T27,High,Alabama,Cyber Security Breach,Spyware,HR,On Prem Cloud,2021-01-13 11:20:03,2021-01-13 11:20:25,2021-01-13 12:02:36,Benny,Excellent (5),Recommended Threat Assessment,,Mail,Cyber Security Breach Spyware Recommended Threat Assessment High HR
T270,Low,Utah,Security Gap,Unauthorized software,Legal,Vendor Cloud,2021-06-02 15:56:07,2021-06-02 16:02:03,2021-06-09 19:23:18,Cinderalla,Good (4),Resolved,,Ticket Portal,Security Gap Unauthorized software Resolved Low Legal
T271,High,New York,Cyber Security Breach,Malware Attack,Finance,On Prem Server,2021-06-02 16:28:20,2021-06-02 16:31:20,2021-06-14 15:50:47,Charlotte,Excellent (5),Resolved,,Personal Call,Cyber Security Breach Malware Attack Resolved High Finance
T272,High,Texas,Cyber Security Breach,Malware Attack,Marketing,Vendor Cloud,2021-06-02 17:52:56,2021-06-02 17:59:52,2021-07-15 17:32:35,Martina,Excellent (5),Resolved,,Mail,Cyber Security Breach Malware Attack Resolved High Marketing
T273,Low,Texas,Cyber Consultation,Application Offboarding,HR,On Prem Server,2021-06-02 22:41:31,2021-06-02 23:12:02,2021-06-03 20:33:31,Martina,Excellent (5),Resolved,,Personal Call,Cyber Consultation Application Offboarding Resolved Low HR
T274,High,New York,Data Leak,Phishing,IT,On Prem Server,2021-06-03 17:54:08,2021-06-04 16:02:57,2021-09-21 09:53:58,Martina,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal,Data Leak Phishing Recommended Threat Assessment High IT
T275,Medium,California,Data Privacy,HIPAA,HR,On Prem Cloud,2021-06-04 15:11:01,2021-06-04 15:12:56,2021-06-08 09:55:02,Martina,Unsatisfactory (2),Resolved,,Ticket Portal,Data Privacy HIPAA Resolved Medium HR
T276,High,Texas,Cyber Consultation,Database Security,IT,On Prem Server,2021-06-07 11:03:47,2021-06-07 11:04:35,2021-06-07 11:05:36,Sebastian,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Database Security Advised for a risk assessment High IT
T277,Low,Virginia,Data Privacy,Privacy Assessment,IT,On Prem Server,2021-06-07 16:14:25,2021-06-07 17:03:01,2021-06-08 12:03:56,Charles,Good (4),Recommended Threat Assessment,,Ticket Portal,Data Privacy Privacy Assessment Recommended Threat Assessment Low IT
T278,High,Virginia,Data Privacy,HIPAA,Manufacturing,On Prem Server,2021-06-07 23:13:05,2021-06-08 07:36:11,2021-06-23 19:47:34,Martina,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal,Data Privacy HIPAA Advised for a risk assessment High Manufacturing
T279,High,New York,Cyber Consultation,Third Party Engagement,IT,On Prem Server,2021-06-08 15:33:56,2021-06-08 15:35:19,2021-06-08 20:08:34,Bob,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Third Party Engagement Advised for a risk assessment High IT
T28,High,Utah,Data Privacy,GDPR,Finance,On Prem Server,2021-01-13 14:20:06,2021-01-13 14:28:47,2021-01-17 10:43:52,Benny,Excellent (5),Resolved,,Ticket Portal,Data Privacy GDPR Resolved High Finance
T280,Low,Texas,Data Privacy,PCI-DSS,Manufacturing,On Prem Cloud,2021-06-08 17:18:12,2021-06-08 17:27:06,2021-06-24 09:52:51,Bob,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal,Data Privacy PCI-DSS Recommended Threat Assessment Low Manufacturing
T281,Medium,Utah,Cyber Consultation,New Application Launch,Manufacturing,On Prem Server,2021-06-08 18:30:23,2021-06-09 14:01:22,2021-06-14 12:59:11,Veronica,Good (4),Advised for a risk assessment,,Ticket Portal,Cyber Consultation New Application Launch Advised for a risk assessment Medium Manufacturing
T282,High,Washington,Cyber Consultation,Application Offboarding,Legal,On Prem Cloud,2021-06-08 19:30:52,2021-06-08 20:30:43,2021-06-09 10:55:29,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal,Cyber Consultation Application Offboarding Advised for a risk assessment High Legal
T283,High,Ohio,Data Privacy,HIPAA,HR,On Prem Cloud,2021-06-09 11:04:29,2021-06-09 11:08:41,2021-06-15 17:23:22,Charles,Satisfactory (3),Advised for a risk assessment,,Ticket Portal,Data Privacy HIPAA Advised for a risk assessment High HR
T284,Low,Massachusetts,Cyber Consultation,New Application Launch,Legal,On Prem Server,2021-06-09 18:56:07,2021-06-09 19:07:06,2021-07-01 22:06:57,Cinderalla,Satisfactory (3),Resolved,,Personal Call,Cyber Consultation New Application Launch Resolved Low Legal
